line_number,similar
1,Yes
2,No
3,Yes
4,No
5,No
6,No
7,Yes
8,No
9,Yes
10,Yes
11,Yes
12,Broken
13,Yes
14,Yes
15,No
16,No
17,No
18,Yes
19,No
20,Yes
21,Yes
22,No
23,No
24,No
25,Broken
26,Yes
27,No
28,No
29,Yes
30,No
31,Yes
32,No
33,No
34,No
35,No
36,No
37,No
38,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
44,Yes
45,Yes
46,Yes
47,No
48,Yes
49,No
50,Yes
51,Yes
52,Yes
53,No
54,No
55,Yes
56,No
57,Yes
58,Yes
59,Yes
60,No
61,Yes
62,No
63,No
64,No
65,No
66,Yes
67,Yes
68,Yes
69,Yes
70,No
71,Yes
72,Yes
73,Yes
74,No
75,Yes
76,No
77,No
78,Yes
79,Yes
80,No
81,No
82,Yes
83,Yes
84,No
85,No
86,Yes
87,No
88,Yes
89,No
90,No
91,Broken
92,Yes
